Date,Hour,Ontario Demand
1-May-02,1,14137
1-May-02,2,13872
1-May-02,3,13820
1-May-02,4,13744
1-May-02,5,14224
1-May-02,6,15404
1-May-02,7,17066
1-May-02,8,17640
1-May-02,9,17719
1-May-02,10,17770
1-May-02,11,17725
1-May-02,12,17611
1-May-02,13,17526
1-May-02,14,17468
1-May-02,15,17478
1-May-02,16,17588
1-May-02,17,17646
1-May-02,18,17288
1-May-02,19,17227
1-May-02,20,17899
1-May-02,21,17902
1-May-02,22,16610
1-May-02,23,15360
1-May-02,24,14451
2-May-02,1,13941
2-May-02,2,13651
2-May-02,3,13569
2-May-02,4,13610
2-May-02,5,14204
2-May-02,6,15601
2-May-02,7,17556
2-May-02,8,18420
2-May-02,9,18699
2-May-02,10,18844
2-May-02,11,18887
2-May-02,12,18768
2-May-02,13,18612
2-May-02,14,18410
2-May-02,15,18392
2-May-02,16,18596
2-May-02,17,18652
2-May-02,18,18364
2-May-02,19,18264
2-May-02,20,18405
2-May-02,21,18209
2-May-02,22,16945
2-May-02,23,15749
2-May-02,24,14793
3-May-02,1,14235
3-May-02,2,14092
3-May-02,3,13972
3-May-02,4,13980
3-May-02,5,14277
3-May-02,6,15611
3-May-02,7,17565
3-May-02,8,18262
3-May-02,9,18352
3-May-02,10,18500
3-May-02,11,18482
3-May-02,12,18252
3-May-02,13,18031
3-May-02,14,17576
3-May-02,15,17419
3-May-02,16,17357
3-May-02,17,17100
3-May-02,18,16712
3-May-02,19,16480
3-May-02,20,16897
3-May-02,21,17250
3-May-02,22,16397
3-May-02,23,15217
3-May-02,24,14243
4-May-02,1,13611
4-May-02,2,13361
4-May-02,3,13206
4-May-02,4,13205
4-May-02,5,13398
4-May-02,6,13604
4-May-02,7,14531
4-May-02,8,15471
4-May-02,9,16074
4-May-02,10,16237
4-May-02,11,16166
4-May-02,12,16011
4-May-02,13,15721
4-May-02,14,15388
4-May-02,15,15094
4-May-02,16,15189
4-May-02,17,15261
4-May-02,18,14950
4-May-02,19,14799
4-May-02,20,15074
4-May-02,21,15533
4-May-02,22,15000
4-May-02,23,14166
4-May-02,24,13369
5-May-02,1,12768
5-May-02,2,12444
5-May-02,3,12351
5-May-02,4,12271
5-May-02,5,12325
5-May-02,6,12491
5-May-02,7,12942
5-May-02,8,13980
5-May-02,9,14594
5-May-02,10,14877
5-May-02,11,15111
5-May-02,12,15120
5-May-02,13,14912
5-May-02,14,14797
5-May-02,15,14717
5-May-02,16,14872
5-May-02,17,15060
5-May-02,18,14908
5-May-02,19,14890
5-May-02,20,15389
5-May-02,21,15869
5-May-02,22,15059
5-May-02,23,14035
5-May-02,24,13211
6-May-02,1,12964
6-May-02,2,12699
6-May-02,3,12593
6-May-02,4,12743
6-May-02,5,13178
6-May-02,6,14460
6-May-02,7,16443
6-May-02,8,17334
6-May-02,9,17784
6-May-02,10,18112
6-May-02,11,18216
6-May-02,12,18136
6-May-02,13,18212
6-May-02,14,18089
6-May-02,15,17931
6-May-02,16,18150
6-May-02,17,18243
6-May-02,18,17984
6-May-02,19,17720
6-May-02,20,17871
6-May-02,21,17642
6-May-02,22,16343
6-May-02,23,14963
6-May-02,24,13977
7-May-02,1,13619
7-May-02,2,13184
7-May-02,3,13086
7-May-02,4,13092
7-May-02,5,13484
7-May-02,6,14703
7-May-02,7,16522
7-May-02,8,17426
7-May-02,9,17810
7-May-02,10,18062
7-May-02,11,18259
7-May-02,12,18201
7-May-02,13,18131
7-May-02,14,17913
7-May-02,15,17762
7-May-02,16,17935
7-May-02,17,17819
7-May-02,18,17295
7-May-02,19,16980
7-May-02,20,17257
7-May-02,21,17584
7-May-02,22,16299
7-May-02,23,14981
7-May-02,24,13950
8-May-02,1,13434
8-May-02,2,13127
8-May-02,3,12968
8-May-02,4,13112
8-May-02,5,13646
8-May-02,6,14789
8-May-02,7,16589
8-May-02,8,17469
8-May-02,9,17584
8-May-02,10,17712
8-May-02,11,17827
8-May-02,12,17612
8-May-02,13,17577
8-May-02,14,17470
8-May-02,15,17585
8-May-02,16,17950
8-May-02,17,17961
8-May-02,18,17698
8-May-02,19,17707
8-May-02,20,18092
8-May-02,21,17984
8-May-02,22,16696
8-May-02,23,15353
8-May-02,24,14329
9-May-02,1,13839
9-May-02,2,13605
9-May-02,3,13426
9-May-02,4,13355
9-May-02,5,13719
9-May-02,6,15188
9-May-02,7,17007
9-May-02,8,18100
9-May-02,9,18345
9-May-02,10,18468
9-May-02,11,18580
9-May-02,12,18392
9-May-02,13,18431
9-May-02,14,18195
9-May-02,15,18053
9-May-02,16,18248
9-May-02,17,18158
9-May-02,18,17743
9-May-02,19,17452
9-May-02,20,17454
9-May-02,21,17595
9-May-02,22,16490
9-May-02,23,15122
9-May-02,24,14178
10-May-02,1,13803
10-May-02,2,13544
10-May-02,3,13345
10-May-02,4,13360
10-May-02,5,13808
10-May-02,6,14843
10-May-02,7,16762
10-May-02,8,17615
10-May-02,9,17836
10-May-02,10,17994
10-May-02,11,18043
10-May-02,12,17922
10-May-02,13,17749
10-May-02,14,17628
10-May-02,15,17382
10-May-02,16,17344
10-May-02,17,17081
10-May-02,18,16754
10-May-02,19,16554
10-May-02,20,16781
10-May-02,21,16972
10-May-02,22,16292
10-May-02,23,15077
10-May-02,24,14041
11-May-02,1,13412
11-May-02,2,13139
11-May-02,3,13026
11-May-02,4,13050
11-May-02,5,13148
11-May-02,6,13483
11-May-02,7,14360
11-May-02,8,15342
11-May-02,9,15885
11-May-02,10,16132
11-May-02,11,16143
11-May-02,12,15929
11-May-02,13,15580
11-May-02,14,15272
11-May-02,15,14994
11-May-02,16,15137
11-May-02,17,15382
11-May-02,18,15370
11-May-02,19,15418
11-May-02,20,15694
11-May-02,21,15680
11-May-02,22,15046
11-May-02,23,13999
11-May-02,24,13208
12-May-02,1,12599
12-May-02,2,12302
12-May-02,3,12250
12-May-02,4,12230
12-May-02,5,12290
12-May-02,6,12409
